Model,Avg,eng_Latn-bjn_Arab,eng_Latn-hat_Latn,eng_Latn-sna_Latn,eng_Latn-npi_Deva,eng_Latn-ckb_Arab,eng_Latn-quy_Latn,eng_Latn-bug_Latn,eng_Latn-fra_Latn,eng_Latn-nso_Latn,eng_Latn-hau_Latn,eng_Latn-bod_Tibt,eng_Latn-zho_Hans,eng_Latn-guj_Gujr,eng_Latn-pan_Guru,eng_Latn-tel_Telu,eng_Latn-gle_Latn,eng_Latn-prs_Arab,eng_Latn-kab_Latn,eng_Latn-kac_Latn,eng_Latn-kan_Knda,eng_Latn-ben_Beng,eng_Latn-jav_Latn,eng_Latn-kam_Latn,eng_Latn-gaz_Latn,eng_Latn-mal_Mlym,eng_Latn-szl_Latn,eng_Latn-nob_Latn,eng_Latn-arb_Latn,eng_Latn-tam_Taml,eng_Latn-shn_Mymr,eng_Latn-vie_Latn,eng_Latn-wol_Latn,eng_Latn-lmo_Latn,eng_Latn-lug_Latn,eng_Latn-por_Latn,eng_Latn-tgl_Latn,eng_Latn-ajp_Arab,eng_Latn-kat_Geor,eng_Latn-tha_Thai,eng_Latn-khm_Khmr,eng_Latn-luo_Latn,eng_Latn-zho_Hant,eng_Latn-twi_Latn,eng_Latn-bho_Deva,eng_Latn-hye_Armn,eng_Latn-fur_Latn,eng_Latn-cym_Latn,eng_Latn-fao_Latn,eng_Latn-est_Latn,eng_Latn-afr_Latn,eng_Latn-cat_Latn,eng_Latn-ssw_Latn,eng_Latn-ltg_Latn,eng_Latn-sag_Latn,eng_Latn-vec_Latn,eng_Latn-kin_Latn,eng_Latn-als_Latn,eng_Latn-bel_Cyrl,eng_Latn-swe_Latn,eng_Latn-umb_Latn,eng_Latn-kmb_Latn,eng_Latn-dzo_Tibt,eng_Latn-pag_Latn,eng_Latn-fin_Latn,eng_Latn-bak_Cyrl,eng_Latn-nya_Latn,eng_Latn-knc_Arab,eng_Latn-mni_Beng,eng_Latn-ban_Latn,eng_Latn-mag_Deva,eng_Latn-cjk_Latn,eng_Latn-tpi_Latn,eng_Latn-epo_Latn,eng_Latn-tat_Cyrl,eng_Latn-som_Latn,eng_Latn-xho_Latn,eng_Latn-kas_Deva,eng_Latn-nld_Latn,eng_Latn-crh_Latn,eng_Latn-azb_Arab,eng_Latn-kbp_Latn,eng_Latn-deu_Latn,eng_Latn-sin_Sinh,eng_Latn-mri_Latn,eng_Latn-hun_Latn,eng_Latn-war_Latn,eng_Latn-kaz_Cyrl,eng_Latn-ita_Latn,eng_Latn-run_Latn,eng_Latn-srp_Cyrl,eng_Latn-acq_Arab,eng_Latn-kor_Hang,eng_Latn-awa_Deva,eng_Latn-srd_Latn,eng_Latn-gla_Latn,eng_Latn-kea_Latn,eng_Latn-kas_Arab,eng_Latn-mar_Deva,eng_Latn-hne_Deva,eng_Latn-aeb_Arab,eng_Latn-ltz_Latn,eng_Latn-ace_Arab,eng_Latn-tum_Latn,eng_Latn-lvs_Latn,eng_Latn-ron_Latn,eng_Latn-san_Deva,eng_Latn-fij_Latn,eng_Latn-lus_Latn,eng_Latn-arz_Arab,eng_Latn-mos_Latn,eng_Latn-glg_Latn,eng_Latn-pbt_Arab,eng_Latn-swh_Latn,eng_Latn-aka_Latn,eng_Latn-heb_Hebr,eng_Latn-ceb_Latn,eng_Latn-ind_Latn,eng_Latn-bos_Latn,eng_Latn-fon_Latn,eng_Latn-dyu_Latn,eng_Latn-ast_Latn,eng_Latn-ary_Arab,eng_Latn-smo_Latn,eng_Latn-slv_Latn,eng_Latn-rus_Cyrl,eng_Latn-dik_Latn,eng_Latn-zul_Latn,eng_Latn-mlt_Latn,eng_Latn-lao_Laoo,eng_Latn-snd_Arab,eng_Latn-lit_Latn,eng_Latn-sat_Olck,eng_Latn-mkd_Cyrl,eng_Latn-pap_Latn,eng_Latn-ces_Latn,eng_Latn-tso_Latn,eng_Latn-grn_Latn,eng_Latn-jpn_Jpan,eng_Latn-uzn_Latn,eng_Latn-azj_Latn,eng_Latn-bjn_Latn,eng_Latn-pes_Arab,eng_Latn-kik_Latn,eng_Latn-kir_Cyrl,eng_Latn-ewe_Latn,eng_Latn-kon_Latn,eng_Latn-ibo_Latn,eng_Latn-tzm_Tfng,eng_Latn-khk_Cyrl,eng_Latn-yue_Hant,eng_Latn-tsn_Latn,eng_Latn-lin_Latn,eng_Latn-mai_Deva,eng_Latn-slk_Latn,eng_Latn-tuk_Latn,eng_Latn-kmr_Latn,eng_Latn-tur_Latn,eng_Latn-bam_Latn,eng_Latn-dan_Latn,eng_Latn-nus_Latn,eng_Latn-asm_Beng,eng_Latn-ilo_Latn,eng_Latn-taq_Tfng,eng_Latn-ayr_Latn,eng_Latn-taq_Latn,eng_Latn-pol_Latn,eng_Latn-ukr_Cyrl,eng_Latn-zsm_Latn,eng_Latn-acm_Arab,eng_Latn-uig_Arab,eng_Latn-hin_Deva,eng_Latn-fuv_Latn,eng_Latn-plt_Latn,eng_Latn-knc_Latn,eng_Latn-bul_Cyrl,eng_Latn-bem_Latn,eng_Latn-yor_Latn,eng_Latn-isl_Latn,eng_Latn-oci_Latn,eng_Latn-ory_Orya,eng_Latn-eus_Latn,eng_Latn-apc_Arab,eng_Latn-mya_Mymr,eng_Latn-urd_Arab,eng_Latn-lij_Latn,eng_Latn-hrv_Latn,eng_Latn-lim_Latn,eng_Latn-amh_Ethi,eng_Latn-min_Latn,eng_Latn-ars_Arab,eng_Latn-sot_Latn,eng_Latn-nno_Latn,eng_Latn-ydd_Hebr,eng_Latn-sun_Latn,eng_Latn-arb_Arab,eng_Latn-lua_Latn,eng_Latn-tgk_Cyrl,eng_Latn-min_Arab,eng_Latn-scn_Latn,eng_Latn-tir_Ethi,eng_Latn-ell_Grek,eng_Latn-ace_Latn,eng_Latn-spa_Latn
mGPT,2.59,0.06,0.15,0.17,0.05,0.01,0.36,0.11,25.04,0.42,0.18,0.00,7.92,0.00,0.00,0.15,0.33,5.84,0.03,0.59,0.00,0.14,1.18,0.20,0.11,0.07,1.97,8.00,0.14,0.08,0.01,18.36,0.12,0.75,0.10,23.28,0.96,3.51,4.39,4.17,0.01,0.17,6.50,0.25,0.15,0.00,0.75,0.31,0.22,0.17,13.54,2.10,0.13,0.75,0.14,3.08,0.13,0.19,3.32,22.49,0.16,0.12,0.00,0.69,6.81,0.20,0.36,0.43,0.02,1.01,0.32,0.16,1.16,0.14,0.75,0.27,0.14,0.05,17.04,0.56,0.12,0.10,17.02,0.01,0.12,9.62,0.56,0.32,16.79,0.09,0.27,4.05,2.16,0.26,0.91,0.24,0.49,0.09,0.10,0.20,2.60,1.05,0.24,0.18,5.22,18.90,0.02,0.35,0.72,2.78,0.13,7.44,0.05,3.80,0.13,3.54,0.27,16.11,0.47,0.03,0.08,5.54,1.77,0.15,0.28,16.46,0.36,0.12,0.22,0.00,0.03,6.20,0.01,1.21,0.41,0.66,0.20,0.27,3.60,3.30,1.62,2.12,5.93,0.32,0.89,0.07,0.19,0.09,0.01,0.25,8.23,0.21,0.25,0.15,0.42,0.10,0.20,7.17,0.10,20.03,0.32,0.02,0.32,0.01,0.20,0.25,13.07,10.12,14.93,3.33,0.01,0.66,0.16,0.13,0.27,15.64,0.23,0.14,0.10,1.34,0.01,5.76,3.27,0.06,3.69,1.25,0.30,3.42,0.01,2.08,3.96,0.57,4.67,0.09,0.69,4.49,0.23,1.50,0.13,1.41,0.00,9.39,0.40,17.26
mGPT-13B,3.88,0.06,0.11,0.12,0.24,0.05,0.28,0.12,31.61,0.21,0.11,0.00,12.81,0.00,0.00,2.00,0.14,6.30,0.03,0.19,0.00,2.39,0.57,0.13,0.06,0.94,1.00,15.04,0.15,1.32,0.01,23.84,0.14,0.63,0.11,31.66,3.55,5.05,7.61,10.31,0.00,0.22,8.82,0.14,0.57,0.02,0.46,0.13,0.37,0.83,23.07,11.38,0.12,0.41,0.12,1.90,0.20,0.56,10.69,28.47,0.12,0.14,0.00,0.59,10.92,3.08,0.21,0.64,0.02,0.69,1.18,0.08,0.37,1.15,5.28,0.16,0.09,0.14,21.12,0.84,0.04,0.07,24.28,0.01,0.11,13.36,0.41,3.80,22.36,0.17,1.32,7.09,3.38,1.16,0.40,0.13,0.32,0.07,1.73,0.75,4.45,0.47,0.15,0.22,11.96,25.47,0.10,0.08,0.31,4.49,0.09,8.58,0.03,6.68,0.12,6.53,0.47,23.95,3.88,0.03,0.10,6.17,2.44,0.11,2.13,19.89,0.13,0.10,0.25,0.00,0.03,11.33,0.00,2.10,0.41,4.97,0.12,0.09,5.56,5.83,4.34,1.43,8.06,0.10,4.33,0.06,0.21,0.09,0.04,1.13,8.75,0.11,0.28,0.63,3.78,0.14,0.13,8.86,0.07,25.01,0.18,0.17,0.15,0.04,0.10,0.09,14.85,16.18,19.54,6.63,0.01,5.46,0.11,0.16,0.13,21.62,0.18,0.11,0.22,3.30,0.00,8.25,4.64,0.96,5.73,0.71,3.86,1.95,0.00,0.76,8.89,0.24,10.07,0.12,0.63,8.93,0.17,4.40,0.08,0.81,0.00,13.64,0.15,21.19
Mistral-7B-Instruct-v0.3,6.56,0.39,3.56,0.50,3.37,0.61,0.91,0.89,44.97,0.45,0.42,0.05,21.25,1.72,1.13,0.93,1.85,6.70,0.08,0.45,1.58,4.11,3.54,0.36,0.14,1.54,8.80,21.90,1.80,0.86,0.23,18.58,0.41,4.92,0.35,44.39,13.44,10.03,3.27,8.57,0.31,0.43,15.92,0.52,4.31,2.65,5.65,3.19,4.26,3.76,21.78,38.89,0.44,1.24,0.46,9.13,0.43,5.00,4.35,36.92,0.18,0.29,0.04,4.08,7.25,0.54,0.44,1.07,0.92,2.58,4.38,0.21,2.91,12.20,0.72,0.87,0.70,1.87,27.43,1.12,1.03,0.39,34.45,0.32,2.79,21.78,4.97,0.85,30.11,0.33,29.18,10.15,11.06,4.11,5.67,1.16,4.89,0.41,1.92,3.88,8.10,4.95,0.34,0.44,2.67,34.01,0.94,0.66,1.27,8.47,0.18,19.00,0.47,0.86,0.58,5.98,8.30,24.84,26.19,0.21,0.33,12.57,6.83,1.07,20.67,30.85,0.40,0.58,2.63,0.40,0.42,3.46,0.15,16.28,6.27,28.38,0.38,0.72,12.62,1.29,2.06,5.30,7.12,0.45,0.88,0.38,0.28,0.56,0.05,1.09,17.60,0.45,0.32,3.62,14.66,0.49,0.85,11.40,0.31,35.34,0.34,1.05,2.29,0.10,0.50,0.18,23.93,29.22,19.30,8.91,0.62,7.10,0.42,0.58,0.29,34.18,0.44,0.54,5.67,11.39,0.15,1.95,9.21,0.27,3.40,6.28,23.61,8.39,0.09,5.58,10.95,0.50,14.52,2.28,4.27,11.71,0.32,0.65,0.33,5.14,0.04,8.56,2.58,28.85
Mistral-7B-v0.3,5.08,0.07,1.24,0.19,1.20,0.12,0.30,0.27,43.83,0.20,0.17,0.03,19.50,0.69,0.69,0.37,1.00,2.50,0.04,0.27,0.40,1.88,0.92,0.13,0.07,0.40,4.22,20.99,0.36,0.38,0.10,14.38,0.14,3.19,0.18,43.29,8.23,4.31,1.19,2.77,0.07,0.22,13.42,0.28,1.62,0.84,4.29,1.92,2.66,1.79,21.45,37.85,0.22,0.23,0.17,8.19,0.20,3.00,2.60,36.80,0.09,0.11,0.02,1.58,4.48,0.12,0.24,0.36,0.17,0.50,2.17,0.09,1.26,8.62,0.19,0.37,0.38,0.27,26.10,0.22,0.10,0.09,33.08,0.13,0.99,18.24,1.78,0.24,28.60,0.15,28.17,5.34,5.51,2.04,3.49,0.56,2.86,0.10,0.71,1.32,3.38,2.19,0.09,0.16,1.14,32.48,0.19,0.29,0.51,3.50,0.08,16.28,0.10,0.30,0.22,2.24,2.34,20.35,24.41,0.06,0.14,12.02,2.40,0.42,20.74,29.23,0.19,0.37,1.50,0.10,0.07,2.04,0.36,10.91,3.23,26.83,0.16,0.31,9.62,0.41,0.50,1.37,2.79,0.19,0.19,0.16,0.18,0.27,0.05,0.26,14.79,0.17,0.21,1.20,12.13,0.12,0.19,4.86,0.13,34.52,0.12,0.24,0.63,0.14,0.18,0.09,22.42,27.96,16.41,4.31,0.17,4.24,0.20,0.24,0.17,32.76,0.22,0.16,2.90,10.59,0.26,0.47,3.66,0.07,1.03,3.23,23.40,5.60,0.02,1.78,4.89,0.26,14.20,0.71,0.97,5.12,0.12,0.18,0.11,2.61,0.04,5.67,0.82,28.18
occiglot-7b-eu5,4.32,0.12,3.10,0.20,0.52,0.06,0.64,0.48,48.39,0.24,0.28,0.01,16.58,0.24,0.32,0.17,0.81,1.58,0.11,0.25,0.16,0.95,3.03,0.22,0.12,0.25,2.90,18.48,0.43,0.13,0.15,9.65,0.27,6.17,0.19,40.39,6.32,3.13,0.91,1.56,0.03,0.33,9.69,0.43,0.59,0.71,7.20,0.86,3.04,2.72,16.94,35.26,0.30,0.90,0.17,9.94,0.29,2.10,0.64,28.88,0.16,0.16,0.02,2.38,4.21,0.08,0.29,0.36,0.28,1.88,0.84,0.11,1.76,7.38,0.14,0.28,0.42,0.23,22.47,0.68,0.18,0.19,39.34,0.10,0.60,9.83,2.28,0.14,33.10,0.21,8.59,3.41,3.87,0.87,5.51,0.62,2.97,0.11,0.56,0.46,2.56,4.88,0.14,0.28,1.87,22.46,0.16,0.28,0.74,2.66,0.13,23.75,0.06,0.31,0.34,1.82,2.39,19.69,16.09,0.07,0.15,16.42,1.96,0.34,11.85,18.90,0.29,0.38,4.14,0.07,0.08,2.45,0.44,5.62,3.09,16.44,0.20,0.67,5.65,0.35,0.51,3.78,1.69,0.31,0.14,0.15,0.21,0.15,0.17,0.22,9.59,0.20,0.23,0.52,8.40,0.11,0.25,4.49,0.17,26.26,0.18,0.20,0.80,0.09,0.45,0.15,16.05,10.50,13.98,3.12,0.07,1.50,0.26,0.55,0.24,17.66,0.27,0.21,2.51,12.36,0.06,1.64,2.81,0.04,0.47,5.54,12.54,6.23,0.02,4.68,4.10,0.26,10.54,0.51,2.97,3.99,0.18,0.12,0.12,6.72,0.01,6.36,0.95,30.28
occiglot-7b-eu5-instruct,3.99,0.14,3.00,0.16,0.55,0.07,0.46,0.32,44.31,0.22,0.22,0.01,15.24,0.44,0.44,0.23,0.78,1.98,0.09,0.20,0.16,1.15,1.51,0.19,0.13,0.36,2.86,14.84,0.36,0.18,0.16,9.57,0.23,4.74,0.22,35.52,6.10,3.72,0.95,1.90,0.02,0.23,8.59,0.31,0.64,0.19,6.62,0.69,2.36,2.84,11.92,30.89,0.24,0.95,0.16,8.73,0.30,1.81,0.71,25.65,0.10,0.14,0.02,1.47,3.88,0.09,0.25,0.36,0.33,1.07,1.10,0.10,1.28,7.74,0.13,0.28,0.33,0.27,20.26,1.10,0.23,0.14,36.09,0.12,0.46,10.32,2.04,0.12,30.51,0.21,7.81,3.50,4.49,1.13,5.25,0.36,2.52,0.11,0.61,0.58,3.61,5.14,0.14,0.23,2.38,22.48,0.26,0.33,0.61,3.58,0.10,20.04,0.09,0.35,0.25,2.29,2.14,16.78,15.15,0.06,0.17,14.17,2.31,0.27,10.87,18.37,0.19,0.33,4.63,0.11,0.05,2.30,0.40,5.60,2.18,17.32,0.15,0.39,6.62,0.46,0.64,2.56,1.85,0.23,0.14,0.15,0.21,0.15,0.08,0.22,9.46,0.19,0.23,0.66,8.64,0.17,0.26,4.94,0.14,23.68,0.18,0.33,0.54,0.05,0.36,0.09,14.87,9.95,12.07,3.59,0.10,1.99,0.20,0.33,0.18,15.72,0.24,0.15,2.24,11.24,0.15,1.80,3.44,0.05,0.54,5.20,12.87,5.06,0.05,3.11,3.89,0.23,10.15,0.54,1.81,4.32,0.19,0.17,0.15,5.38,0.02,6.77,0.65,27.42
Qwen1.5-7B,5.87,0.03,0.34,0.12,1.09,0.06,0.10,0.19,45.10,0.14,0.18,0.01,34.19,4.24,2.14,1.19,0.62,7.80,0.05,0.11,0.84,5.34,4.15,0.25,0.08,2.50,3.42,19.40,0.19,1.57,0.06,21.80,0.14,3.25,0.10,42.90,9.48,13.32,3.58,9.72,1.13,0.14,25.32,0.25,2.17,0.20,3.43,1.42,1.73,7.64,27.19,32.88,0.14,1.36,0.09,8.17,0.12,2.18,1.00,31.94,0.11,0.09,0.00,0.98,13.59,0.42,0.18,0.27,0.22,2.64,3.02,0.06,0.81,5.95,0.50,0.38,0.17,0.51,25.79,0.64,0.43,0.10,33.90,0.06,0.19,11.11,1.10,1.43,27.80,0.11,13.16,11.22,11.27,2.80,3.38,0.20,0.52,0.10,2.45,2.34,11.27,1.52,0.07,0.21,7.19,32.93,0.54,0.20,0.29,10.73,0.07,25.90,0.44,2.42,0.23,9.27,2.47,32.85,19.17,0.11,0.08,13.14,6.72,0.15,12.56,27.76,0.10,0.16,0.84,0.56,0.08,9.57,0.16,18.06,0.78,21.89,0.10,0.30,15.70,0.29,1.91,2.69,8.28,0.35,0.77,0.12,0.13,0.25,0.05,0.57,29.36,0.12,0.15,1.28,11.57,0.31,0.19,12.56,0.15,25.90,0.14,0.79,0.40,0.06,0.08,0.07,19.09,14.16,20.07,14.23,0.05,7.91,0.10,0.44,0.12,17.74,0.12,0.39,1.59,8.31,0.76,0.76,13.00,0.36,0.73,3.83,18.07,4.92,0.02,1.70,15.89,0.16,14.13,0.15,2.09,15.35,0.08,0.21,0.05,3.92,0.00,9.08,0.32,28.76
Qwen2-7B,5.56,0.05,0.26,0.09,1.37,0.08,0.07,0.21,45.45,0.11,0.14,0.04,34.04,3.16,1.00,0.87,0.22,9.64,0.05,0.14,0.80,7.33,1.62,0.16,0.05,2.58,5.05,17.22,0.16,1.13,0.05,34.52,0.18,1.73,0.10,45.48,8.33,10.78,4.98,23.59,1.60,0.12,23.76,0.14,2.21,0.68,3.01,0.91,1.44,6.81,26.44,22.93,0.14,1.33,0.13,4.51,0.09,1.22,1.01,28.85,0.11,0.12,0.02,1.73,9.35,0.28,0.14,0.39,0.20,0.68,3.62,0.07,1.19,5.82,0.44,0.36,0.16,0.33,26.18,0.56,0.11,0.05,32.42,0.13,0.24,5.32,1.41,1.34,28.71,0.09,5.18,13.32,11.21,3.71,1.88,0.17,2.57,0.15,2.18,2.33,10.01,2.43,0.05,0.12,5.25,24.85,0.58,0.11,0.32,8.44,0.04,25.15,0.38,0.81,0.15,12.23,1.92,28.80,14.29,0.06,0.08,9.58,4.86,0.19,6.63,31.10,0.08,0.15,0.45,0.28,0.08,6.62,0.08,14.85,3.24,20.43,0.13,0.30,18.61,0.38,1.54,2.25,9.80,0.17,0.47,0.09,0.14,0.14,0.05,0.44,23.53,0.08,0.14,1.23,10.36,0.10,0.18,11.19,0.08,24.07,0.10,1.17,0.83,0.13,0.08,0.06,18.07,11.63,23.82,10.59,0.09,9.65,0.11,0.18,0.13,16.99,0.14,0.15,1.18,7.67,0.43,0.45,7.25,0.97,2.57,3.17,15.77,6.03,0.02,2.68,17.88,0.10,12.54,0.14,4.10,15.06,0.10,0.16,0.05,3.23,0.01,9.43,0.40,28.62
Qwen2-7B-Instruct,6.49,0.06,0.51,0.31,2.45,0.12,0.14,0.35,46.04,0.28,0.51,0.05,34.65,4.73,1.00,1.13,1.16,12.91,0.09,0.23,0.86,9.78,4.38,0.35,0.21,2.90,8.43,19.73,0.65,1.01,0.04,33.75,0.48,2.99,0.23,46.13,12.46,14.99,6.34,25.93,1.89,0.16,24.53,0.18,3.58,1.18,2.95,1.68,1.99,7.83,24.53,24.81,0.31,2.31,0.17,7.03,0.33,1.85,1.57,26.79,0.18,0.23,0.00,3.24,10.48,0.37,0.29,0.48,0.29,1.36,4.97,0.14,2.02,9.63,0.57,1.70,0.36,0.81,24.22,1.14,0.26,0.10,32.32,0.16,0.85,8.87,1.78,3.16,25.75,0.21,9.43,15.63,12.23,5.50,3.01,0.49,2.03,0.11,3.33,4.28,15.05,4.01,0.04,0.31,8.25,28.58,1.00,0.16,0.40,15.90,0.08,25.51,1.19,2.64,0.28,10.89,2.63,33.62,15.08,0.09,0.09,12.04,9.23,0.55,9.29,31.13,0.09,0.31,0.90,0.72,0.06,8.83,0.08,13.81,3.65,23.77,0.28,0.17,19.73,0.80,2.80,5.94,15.74,0.27,1.47,0.13,0.30,0.44,0.03,1.10,26.73,0.22,0.31,2.21,13.10,0.12,0.43,17.41,0.13,22.43,0.12,1.94,1.79,0.09,0.12,0.09,20.31,13.85,26.07,16.88,0.12,13.65,0.21,0.86,0.27,18.10,0.29,0.73,2.20,8.04,0.48,1.93,11.91,1.20,4.10,3.76,14.15,6.70,0.02,5.89,19.61,0.25,12.67,0.26,4.56,20.42,0.17,0.11,0.06,4.60,0.02,11.50,0.57,28.98
Qwen2.5-7B,5.72,0.04,0.62,0.11,1.71,0.10,0.11,0.15,46.19,0.13,0.19,0.04,34.13,1.62,1.06,0.83,0.40,8.44,0.05,0.15,0.59,4.94,1.78,0.17,0.09,1.27,4.61,20.46,0.31,0.86,0.12,36.40,0.18,2.36,0.13,46.78,5.59,12.03,2.75,27.62,1.14,0.14,24.53,0.27,2.64,1.67,3.73,1.38,1.66,3.99,25.29,28.28,0.20,0.86,0.15,5.66,0.14,2.05,1.59,24.58,0.08,0.12,0.02,1.19,8.07,0.15,0.16,0.32,0.12,0.65,3.65,0.07,1.70,8.89,0.25,0.40,0.26,0.51,24.27,0.60,0.11,0.10,34.68,0.18,0.44,4.99,1.54,0.82,28.07,0.11,6.12,15.39,14.57,2.23,2.20,0.44,2.37,0.08,1.57,3.09,10.75,2.91,0.09,0.14,4.04,24.58,0.29,0.19,0.30,7.44,0.05,23.57,0.28,0.50,0.25,9.96,1.98,34.63,11.93,0.06,0.09,11.41,2.72,0.31,6.09,31.92,0.11,0.25,1.04,0.44,0.11,4.14,0.09,8.83,2.89,21.57,0.15,0.18,21.02,0.64,0.94,3.40,10.32,0.15,0.31,0.12,0.16,0.15,0.02,0.38,19.76,0.10,0.18,1.17,12.35,0.14,0.22,17.42,0.11,22.43,0.13,0.96,1.04,0.02,0.08,0.09,20.85,13.79,24.25,14.61,0.07,9.17,0.12,0.31,0.12,20.10,0.19,0.20,1.87,8.36,0.38,0.80,7.68,0.51,1.26,3.56,10.57,7.37,0.05,2.59,21.74,0.16,15.37,0.14,1.74,23.48,0.12,0.17,0.04,2.70,0.02,11.07,0.38,29.31
Qwen2.5-7B-Instruct,5.88,0.07,3.06,0.75,5.03,0.90,0.68,0.69,42.68,1.17,2.84,0.18,13.34,2.29,2.34,2.23,2.88,8.43,0.34,0.92,1.55,8.72,3.42,0.71,0.47,2.45,6.14,16.50,1.81,1.71,0.39,24.96,2.21,4.22,0.65,41.06,8.06,12.59,4.59,26.32,3.24,0.50,13.24,2.25,5.31,3.91,4.73,3.36,3.67,4.90,22.53,21.86,0.72,1.82,0.49,7.52,0.68,4.00,3.30,22.00,0.35,0.68,0.05,4.25,7.59,1.35,1.00,1.30,1.01,2.91,8.34,0.42,7.35,12.49,1.90,2.88,0.81,1.86,15.74,1.93,0.57,0.28,23.47,0.65,2.57,7.50,4.76,3.30,23.51,0.58,4.16,16.77,10.87,5.51,4.08,1.92,4.71,0.31,3.38,6.00,12.62,3.44,0.13,0.66,4.70,21.63,1.39,1.53,1.83,12.25,0.68,22.04,1.68,2.94,1.73,5.13,5.75,20.57,11.07,0.27,0.49,10.50,7.78,2.92,8.03,23.15,0.56,0.68,2.92,1.83,0.64,5.37,0.12,9.72,5.06,15.44,0.87,0.71,15.16,3.22,2.79,4.18,10.70,0.36,3.36,0.43,1.09,2.57,0.03,1.34,12.41,0.92,1.20,3.33,11.95,1.01,1.15,14.09,1.14,19.93,0.57,2.60,3.46,0.04,0.43,0.63,14.92,13.18,15.85,15.52,0.59,13.01,1.10,2.27,0.73,14.42,0.97,2.06,3.71,9.57,0.99,2.51,10.53,1.52,3.56,5.53,9.24,6.61,0.27,3.99,22.07,1.13,12.95,0.57,3.87,18.40,0.70,1.16,0.06,4.25,0.23,7.83,1.48,29.47
Qwen3-14B-Base,11.50,0.15,4.66,0.18,15.39,0.72,0.16,0.74,51.69,0.26,0.38,0.17,36.92,20.83,20.88,20.06,1.41,21.49,0.11,0.27,18.00,20.61,14.27,0.20,0.14,16.07,7.65,30.86,0.81,17.39,0.52,40.79,0.31,5.64,0.21,51.62,26.59,18.30,15.73,35.39,9.22,0.25,28.44,0.47,11.09,21.27,6.70,8.56,5.24,15.63,38.67,41.20,0.26,2.81,0.29,10.37,0.22,22.21,12.53,42.43,0.12,0.21,0.08,3.81,19.95,1.68,0.21,0.45,0.89,2.33,17.57,0.11,2.00,29.32,2.76,0.54,0.57,2.40,30.61,1.27,0.29,0.19,41.58,2.49,1.18,26.43,9.42,11.51,34.16,0.19,25.45,22.86,22.89,14.78,4.87,0.72,6.80,0.76,13.96,12.52,15.77,10.26,0.15,0.18,22.36,40.79,2.59,0.44,0.57,15.62,0.10,33.52,0.73,1.99,0.40,21.90,15.54,43.56,29.76,0.10,0.15,21.07,7.11,0.48,22.25,36.16,0.22,0.51,3.83,10.79,6.09,20.06,0.31,23.79,6.34,32.74,0.18,0.24,26.59,8.16,8.37,7.23,24.99,0.22,2.65,0.17,0.21,0.38,0.11,2.48,32.23,0.23,0.30,9.19,28.90,0.51,0.59,27.34,0.13,40.38,0.26,9.97,1.52,0.12,0.15,0.13,26.86,31.43,35.29,22.93,0.85,27.64,0.21,0.66,0.19,34.09,0.24,0.40,7.38,17.57,15.09,4.97,21.24,7.38,15.96,7.82,28.46,8.58,0.43,7.28,30.57,0.35,25.59,3.97,6.53,29.61,0.19,1.12,0.15,6.85,0.10,27.35,0.83,31.63
Qwen3-8B-Base,8.93,0.09,1.87,0.12,9.01,0.51,0.20,0.25,45.39,0.15,0.20,0.07,35.23,13.01,13.02,11.65,0.50,16.29,0.07,0.18,9.83,14.89,8.49,0.11,0.12,8.25,5.87,28.08,0.20,9.29,0.52,38.93,0.14,4.33,0.09,48.53,20.70,18.07,9.07,32.79,4.62,0.20,28.12,0.25,6.76,14.45,4.60,3.82,3.08,11.12,35.95,35.42,0.15,1.79,0.11,7.47,0.13,13.37,9.35,35.95,0.09,0.12,0.09,1.07,18.51,0.87,0.13,0.46,0.47,1.46,10.37,0.07,1.91,23.50,1.55,0.31,0.24,0.77,27.55,0.78,0.17,0.10,38.97,1.12,0.51,19.75,4.68,6.50,31.30,0.11,20.79,19.14,15.79,10.61,3.42,0.33,2.31,0.35,7.75,7.06,13.44,3.96,0.13,0.13,15.40,36.68,1.28,0.26,0.57,14.71,0.07,30.37,0.35,0.77,0.20,10.39,6.42,41.21,24.23,0.07,0.09,21.87,5.52,0.29,15.82,33.36,0.14,0.21,1.53,4.62,1.62,16.05,0.31,21.75,5.43,28.05,0.11,0.19,23.62,3.52,4.76,3.08,19.29,0.09,1.16,0.11,0.13,0.32,0.07,0.97,26.75,0.11,0.15,6.26,23.12,0.24,0.42,22.67,0.09,35.88,0.13,6.01,0.92,0.08,0.14,0.09,24.62,27.78,33.67,14.36,0.31,20.36,0.16,0.45,0.16,30.00,0.17,0.23,3.95,13.78,8.11,2.30,12.59,4.05,8.54,4.20,21.28,8.17,0.20,3.02,20.51,0.18,23.17,2.05,4.17,22.83,0.12,0.54,0.10,3.58,0.03,20.08,0.54,30.15
